Local time,Open,High,Low,Close,Volume
01.11.2024 19:30:00.000 GMT+0200,2739.795,2739.815,2737.055,2737.085,525039.99
01.11.2024 19:35:00.000 GMT+0200,2737.065,2737.865,2736.125,2736.255,568890.01
01.11.2024 19:40:00.000 GMT+0200,2736.255,2736.545,2735.335,2735.515,530500
01.11.2024 19:45:00.000 GMT+0200,2735.535,2736.105,2734.985,2735.325,505950
01.11.2024 19:50:00.000 GMT+0200,2735.325,2737.715,2735.325,2736.165,634840
01.11.2024 19:55:00.000 GMT+0200,2736.195,2736.905,2735.865,2736.215,480440
01.11.2024 20:00:00.000 GMT+0200,2736.178,2736.465,2735.725,2736.415,466130
01.11.2024 20:05:00.000 GMT+0200,2736.425,2736.815,2734.395,2734.795,498100.01
01.11.2024 20:10:00.000 GMT+0200,2734.795,2735.045,2733.885,2734.565,478960
01.11.2024 20:15:00.000 GMT+0200,2734.605,2735.165,2733.555,2733.695,486529.99
01.11.2024 20:20:00.000 GMT+0200,2733.705,2736.405,2733.405,2736.115,502290
01.11.2024 20:25:00.000 GMT+0200,2736.115,2737.915,2735.885,2737.165,545030.01
01.11.2024 20:30:00.000 GMT+0200,2737.165,2737.305,2735.915,2736.035,378690
01.11.2024 20:35:00.000 GMT+0200,2736.035,2737.895,2735.935,2737.835,338250
01.11.2024 20:40:00.000 GMT+0200,2737.825,2737.895,2736.295,2736.665,439780
01.11.2024 20:45:00.000 GMT+0200,2736.665,2737.605,2736.395,2737.395,322880
01.11.2024 20:50:00.000 GMT+0200,2737.385,2737.465,2736.765,2737.075,338310
01.11.2024 20:55:00.000 GMT+0200,2737.055,2737.155,2735.945,2736.085,427780
01.11.2024 21:00:00.000 GMT+0200,2736.115,2736.545,2734.135,2734.425,569600
01.11.2024 21:05:00.000 GMT+0200,2734.425,2736.235,2734.065,2736.185,459460
01.11.2024 21:10:00.000 GMT+0200,2736.225,2736.935,2735.475,2736.485,351610
01.11.2024 21:15:00.000 GMT+0200,2736.485,2736.625,2734.985,2735.065,334210
01.11.2024 21:20:00.000 GMT+0200,2735.095,2736.055,2734.825,2734.865,291110
01.11.2024 21:25:00.000 GMT+0200,2734.865,2735.015,2733.095,2733.475,376780
01.11.2024 21:30:00.000 GMT+0200,2733.445,2734.645,2733.445,2734.615,301100
01.11.2024 21:35:00.000 GMT+0200,2734.615,2735.245,2734.075,2734.455,262860
01.11.2024 21:40:00.000 GMT+0200,2734.455,2735.725,2734.355,2735.095,297430
01.11.2024 21:45:00.000 GMT+0200,2735.125,2735.235,2734.118,2734.145,336929.99
01.11.2024 21:50:00.000 GMT+0200,2734.085,2734.535,2733.395,2734.355,334150
01.11.2024 21:55:00.000 GMT+0200,2734.345,2734.745,2733.885,2734.035,150310
01.11.2024 22:00:00.000 GMT+0200,2734.025,2734.405,2733.645,2734.155,147990
01.11.2024 22:05:00.000 GMT+0200,2734.158,2734.565,2733.355,2733.695,199840
01.11.2024 22:10:00.000 GMT+0200,2733.695,2734.785,2733.635,2734.565,219100
01.11.2024 22:15:00.000 GMT+0200,2734.575,2734.628,2733.525,2733.985,192720
01.11.2024 22:20:00.000 GMT+0200,2733.995,2733.995,2733.168,2733.325,93260
01.11.2024 22:25:00.000 GMT+0200,2733.325,2734.465,2733.255,2734.425,126770
01.11.2024 22:30:00.000 GMT+0200,2734.415,2734.755,2733.635,2734.595,135770
01.11.2024 22:35:00.000 GMT+0200,2734.575,2734.765,2733.935,2734.505,203830
01.11.2024 22:40:00.000 GMT+0200,2734.505,2734.945,2734.375,2734.405,179090
01.11.2024 22:45:00.000 GMT+0200,2734.505,2734.785,2734.345,2734.575,156880
01.11.2024 22:50:00.000 GMT+0200,2734.585,2735.445,2734.305,2735.095,171040
01.11.2024 22:55:00.000 GMT+0200,2735.075,2736.675,2734.955,2735.895,193370
01.11.2024 23:00:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
01.11.2024 23:05:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
01.11.2024 23:10:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
01.11.2024 23:15:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
01.11.2024 23:20:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
01.11.2024 23:25:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
01.11.2024 23:30:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
01.11.2024 23:35:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
01.11.2024 23:40:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
01.11.2024 23:45:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
01.11.2024 23:50:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
01.11.2024 23:55:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 00:00:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 00:05:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 00:10:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 00:15:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 00:20:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 00:25:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 00:30:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 00:35:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 00:40:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 00:45:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 00:50:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 00:55:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 01:00:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 01:05:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 01:10:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 01:15:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 01:20:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 01:25:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
02.11.2024 01:30:00.000 GMT+0200,2735.895,2735.895,2735.895,2735.895,0
